frame,x,y,z
0,30.0,0.02,0.0
1,30.0,0.04,1.1273216114143449e-05
2,30.00000001642447,0.05999999366920314,3.377800411678862e-05
3,30.00000006565249,0.0799999747471038,6.747265229889304e-05
4,30.00000016401751,0.09999993704333202,0.00011231538169996132
5,30.000000327807097,0.11999987443749643,0.00016826434634071685
6,30.000000573262675,0.13999978087902581,0.00023527763345649499
7,30.000000916579282,0.15999965038700906,0.0003133132637313567
8,30.000001373905327,0.17999947705003377,0.00040232919153291994
9,30.00000196134233,0.19999925502602345,0.0005022833051479079
10,30.000002694944683,0.21999897854207304,0.0006131334270184115
11,30.000003590719395,0.23999864189428327,0.0007348373139788646
12,30.00000466462585,0.2599982394475933,0.0008673526574937301
13,30.000005932575554,0.27999776563561224,0.0010106370838958946
14,30.000007410431902,0.2999972149604487,0.0011646481546257706
15,30.000009114009913,0.31999658199253944,0.0013293433664711034
16,30.000011059076005,0.3399958613704764,0.0015046801518074809
17,30.000013261347732,0.35999504780083197,0.0016906158788395447
18,30.000015736493552,0.3799941360579834,0.0018871078518429005
19,30.00001850013258,0.3999931209839352,0.002094113311406726
20,30.000021567834345,0.4199919974881406,0.002311589434677072
21,30.000024955118544,0.43999076054732117,0.00253949333560086
22,30.000028677454807,0.4599894052052852,0.002777782065170567
23,30.000032750262452,0.4799879265727447,0.0030264126116696034
24,30.000037188910245,0.4999863198271309,0.0032853419009183727
25,30.000042008716154,0.5199845802124081,0.0035545267965210207
26,30.000047224947117,0.539982703038887,0.0038339241001128658
27,30.000052852818804,0.5599806836830349,0.0041234905516085085
28,30.000058907495372,0.5799785175872865,0.004423182829450621
29,30.000065404089227,0.5999762002598517,0.004732957550859415
30,30.000072357660795,0.6199737272745228,0.005052771272082774
31,30.00007978321828,0.6399710942704804,0.005382580488647073
32,30.000087695717422,0.6599682969520969,0.005722341635608654
33,30.00009611006128,0.6799653310887399,0.006072011087805977
34,30.00010504109997,0.6999621925145731,0.006431545160112432
35,30.000114503630464,0.7199588771283568,0.0068009001076898175
36,30.000124512396322,0.739955380893246,0.007180032126242474
37,30.00013508208749,0.7599516998365878,0.007568897352272085
38,30.000146227340043,0.7799478300497173,0.007967451863333126
39,30.000157962735976,0.7999437676877519,0.008375651678288966
40,30.000170302802953,0.8199395089693842,0.008793452757568633
41,30.00018326201409,0.8399350501766739,0.009220811003424211
42,30.00019685478772,0.8599303876548381,0.009657682260188902
43,30.000211095487167,0.8799255178120399,0.010104022314535714
44,30.000225998420518,0.8999204371191762,0.010559786895736804
45,30.00024157784039,0.919915142109664,0.01102493167592346
46,30.00025784794372,0.9399096293792245,0.011499412270346707
47,30.00027482287151,0.9599038955856676,0.01198318423763857
48,30.000292516708633,0.979897937448673,0.012476203080073942
49,30.00031094348359,0.9998917517495717,0.012978424243833109
50,30.000330117168293,1.0198853353311248,0.01348980311926488
51,30.000350051677838,1.0398786850973019,0.014010295041150358
52,30.000370760870286,1.0598717980130576,0.014539855288967318
53,30.00039225854644,1.079864671104107,0.015078439087155218
54,30.00041455844963,1.0998573014567,0.015626001605380822
55,30.000437674265484,1.119849686217393,0.01618249795880444
56,30.00046161962171,1.1398418225928215,0.01674788320834676
57,30.000486408087887,1.1598337078494692,0.01732211236095634
58,30.000512053175242,1.1798253393134372,0.01790514036987763
59,30.00053856833643,1.1998167143702116,0.01849692213491968
60,30.00056596696532,1.219807830464429,0.019097412502725387
61,30.000594262396778,1.2397986850996416,0.019706566267041373
62,30.00062346790646,1.2597892758380809,0.020324338168988456
63,30.0006535967106,1.2797796003004194,0.020950682897332693
64,30.000684661965774,1.2997696561655319,0.021585555088757043
65,30.00071667676872,1.3197594411702551,0.022228909328133605
66,30.000749654156113,1.3397489531091455,0.022880700148796427
67,30.000783607104342,1.359738189834237,0.02354088203281493
68,30.00081854852932,1.3797271492547967,0.02420940941126788
69,30.00085449128627,1.399715829337078,0.02488623666451795
70,30.000891448169508,1.419704228104076,0.025571318122486867
71,30.000929431912255,1.4396923436352778,0.02626460806493111
72,30.000968455186413,1.4596801740664138,0.02696606072171819
73,30.00100853060237,1.4796677175892075,0.027675630273103484
74,30.001049670708788,1.4996549724511228,0.028393270850007656
75,30.00109188799241,1.5196419369551115,0.029118936534294607
76,30.00113519487785,1.5396286094593594,0.029852581359050005
77,30.001179603727394,1.5596149883770298,0.030594159308860353
78,30.0012251268408,1.5796010721760079,0.031343624320092627
79,30.001271776455095,1.5995868593786413,0.03210093028117444
80,30.00131956474438,1.6195723485614826,0.03286603103287477
81,30.001368503819638,1.6395575383550274,0.033638880368585235
82,30.001418605728517,1.6595424274434538,0.03441943203460187
83,30.001469882455158,1.679527014564359,0.03520763973040748
84,30.001522345919987,1.6995112985084955,0.03600345710895454
85,30.00157600797952,1.7194952781195056,0.03680683777694854
86,30.001630880426173,1.7394789522936553,0.037617735295131974
87,30.001686974988075,1.7594623199795665,0.038436103178568756
88,30.001744303328866,1.7794453801779482,0.03926189489692924
89,30.001802877047517,1.7994281319413268,0.04009506387477566
90,30.001862707678132,1.8194105743737747,0.0409355634918482
91,30.001923806689767,1.8393927066306384,0.04178334708335148
92,30.00198618548624,1.8593745279182645,0.04263836794024158
93,30.00204985540594,1.879356037493726,0.04350057930951364
94,30.00211482772165,1.8993372346645452,0.044369934394489836
95,30.002181113640354,1.9193181187884183,0.04524638635510795
96,30.00224872430307,1.9392986892729362,0.04612988830821041
97,30.002317670784638,1.9592789455753066,0.04702039332783382
98,30.002387964093572,1.9792588872020724,0.04791785444549899
99,30.00245961517186,1.9992385137088313,0.048822224650501414
100,30.002532634894784,2.019217824699953,0.04973345689020231
101,30.002607034070753,2.039196819828295,0.05065150407032006
102,30.002682823441116,2.05917549879492,0.05157631905522219
103,30.002760013679993,2.0791538613488063,0.05250785466821777
104,30.00283861539409,2.0991319072865657,0.05344606369185033
105,30.002918639122537,2.1191096364521522,0.05439089886819121
106,30.00300009533671,2.1390870487365734,0.055342312899133425
107,30.003082994440057,2.1590641440776013,0.056300258446685895
108,30.003167346767924,2.179040922459481,0.05726468813326826
109,30.0032531625874,2.199017383912638,0.05823555454200603
110,30.003340452097127,2.2189935285133857,0.0592128102170263
111,30.00342922542715,2.2389693563836297,0.06019640766375379
112,30.003519492638745,2.258944867690574,0.061186299349207426
113,30.003611263724242,2.2789200626464243,0.06218243770229734
114,30.003704548606883,2.29889494150809,0.06318477511412227
115,30.003799357140643,2.3188695045768855,0.06419326393826745
116,30.00389569911007,2.3388437521982324,0.06520785649110288
117,30.003993584230127,2.358817684761358,0.06622850505208204
118,30.004093022146026,2.3787913026989935,0.06725516186404108
119,30.004194022433083,2.398764606487072,0.06828777913349834
120,30.004296594596543,2.4187375966444256,0.06932630903095438
121,30.004400748071433,2.43871027373248,0.0703707036911923
122,30.004506492222404,2.4586826383549507,0.07142091521357866
123,30.004613836343584,2.478654691157535,0.07247689566236458
124,30.004722789658413,2.4986264328276055,0.07353859706698747
125,30.0048333613195,2.5185978640939024,0.07460597142237294
126,30.00494556040846,2.5385689857262235,0.0756789706892373
127,30.005059395935785,2.558539798535114,0.07675754679439037
128,30.005174876840677,2.5785103033715573,0.0778416516310386
129,30.005292011990907,2.5984805011266596,0.07893123705908872
130,30.00541081018267,2.618450392731341,0.08002625490545173
131,30.005531280140442,2.638419979156019,0.08112665696434719
132,30.005653430516826,2.6583892614102944,0.08223239499760795
133,30.005777269892423,2.6783582405426367,0.0833434207349853
134,30.00590280677568,2.698326917640067,0.08445968587445435
135,30.006030049602757,2.7182952938278397,0.08558114208251995
136,30.00615900673738,2.7382633702691264,0.0867077409945228
137,30.006289686470712,2.758231148164695,0.08783943421494605
138,30.006422097021208,2.778198628752591,0.08897617331772217
139,30.006556246534483,2.798165813307816,0.09011790984654021
140,30.006692143083185,2.8181327031420063,0.09126459531515341
141,30.00682979466685,2.83809929960311,0.09241618120768712
142,30.006969209211775,2.8580656040750654,0.0935726189789471
143,30.007110394570887,2.8780316179774745,0.09473386005472814
144,30.00725335852362,2.89799734276528,0.09589985583212297
145,30.007398108775774,2.9179627799284384,0.09707055767983161
146,30.0075446529594,2.9379279309915947,0.09824591693847087
147,30.007692998632663,2.9578927975137543,0.09942588492088437
148,30.007843153279733,2.9778573810879547,0.10061041291245272
149,30.00799512431065,2.997821683340937,0.1017994521714041
150,30.008148919061203,3.017785705932816,0.10299295392912511
151,30.00830454479281,3.0377494505567517,0.10419086939047195
152,30.00846200869241,3.057712918938615,0.10539314973408188
153,30.008621317872315,3.077676112836658,0.10659974611268502
